5M11C18667;n/a;Keyb X13 Yoga G2 Cover - WW - Nordics;1;128;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;NORDICS;n/a;5M11C18667;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M11C18667;0;n/a;n/a; 
5M11C18673;n/a;Keyb X13 Yoga G2 Cover - WW - BE;1;161;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;BE;n/a;5M11C18673;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M11C18673;0;n/a;n/a; 
5M11C18677;n/a;Keyb X13 Yoga G2 Cover - WW - FR;3;161;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;FR;n/a;5M11C18677;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M11C18677;0;n/a;n/a; 
5M11C18678;n/a;Keyb X13 Yoga G2/G3 Cover - WW - DE;12;161;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;DE;n/a;5M11C18678;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M11C18678;0;n/a;n/a; 
5M11C18691;n/a;Keyb X13 Yoga G2 Cover - WW - US/I;1;43;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;US/I;n/a;5M11C18691;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M11C18691;0;n/a;n/a; 
5M11C41010;n/a;Lenovo X1 Yoga 2021 G6 Keyboard (CH) WL;1;255;NEW;LENOVO;KEYBOARD;1YR CCR;1 Year Carry-in Warranty;n/a;CH;n/a;5M11C41010;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M11C41010;0;n/a;n/a; 
5M11C53233;n/a;Lenovo X1 Carbon 2021 G9 Keyboard WL CZ/SLK;7;235;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;CZ/SK;n/a;5M11C53233;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M11C53233;0;n/a;n/a; 
5M11C53238;n/a;Lenovo X1 Carbon 2021 G9 Keyboard WL FR;9;235;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;FR;n/a;5M11C53238;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M11C53238;0;n/a;n/a; 
5M11C53265;n/a;Lenovo X1 Carbon 2021 G9 Keyboard WW BE;2;235;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;BE;n/a;5M11C53265;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M11C53265;0;n/a;n/a; 
5M11C53273;n/a;Lenovo X1 Carbon 2021 G9 Keyboard WW US/I;3;175;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;US/I;n/a;5M11C53273;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M11C53273;0;n/a;n/a; 
